Perusahaan,Posisi,Lokasi,Gaji,Sistem Kerja,Pendidikan Minimal,Pengalaman Kerja,Kriteria,Kriteria_Clean,Kriteria_CF,Kriteria_Token,Kriteria_Stemming,Kriteria_Stopword
Native Productions,Full Stack Developer,Remote,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', '6-10 Tahun', 'Staff / Officer', 'IT / Information Technology', 'Programmer / Software Development']",DiplomaDDD Sarjana  S  Tahun  Tahun Staff  Officer IT  Information Technology Programmer  Software Development,diplomaddd sarjana  s  tahun  tahun staff  officer it  information technology programmer  software development,"['diplomaddd', 'sarjana', 's', 'tahun', 'tahun', 'staff', 'officer', 'it', 'information', 'technology', 'programmer', 'software', 'development']","['diplomaddd', 'sarjana', 's', 'tahun', 'tahun', 'staff', 'officer', 'it', 'information', 'technology', 'programmer', 'software', 'development']",diplomaddd sarjana s staff officer it information technology programmer software development
PT MEDAN JAYA PANGAN MUTU,Satpam,Deli Serdang,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Keterampilan & Jasa', 'Satpam / Security']",Staff  Officer Keterampilan  Jasa Satpam  Security,staff  officer keterampilan  jasa satpam  security,"['staff', 'officer', 'keterampilan', 'jasa', 'satpam', 'security']","['staff', 'officer', 'terampil', 'jasa', 'satpam', 'security']",staff officer terampil jasa satpam security
Graha Daffylagio,Staff Marketing Perumahan,Bekasi,Rp 2 – 3 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Properti & Real Estate', 'Penjualan Rumah']",Sarjana  S Junior  Entry Level Properti  Real Estate Penjualan Rumah,sarjana  s junior  entry level properti  real estate penjualan rumah,"['sarjana', 's', 'junior', 'entry', 'level', 'properti', 'real', 'estate', 'penjualan', 'rumah']","['sarjana', 's', 'junior', 'entry', 'level', 'properti', 'real', 'estate', 'jual', 'rumah']",sarjana s junior entry level properti real estate jual rumah
PT PHOENIX KIAN JAYA,Kurir,Jakarta Barat,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Transportasi & Logistik', 'Kurir']",Junior  Entry Level Transportasi  Logistik Kurir,junior  entry level transportasi  logistik kurir,"['junior', 'entry', 'level', 'transportasi', 'logistik', 'kurir']","['junior', 'entry', 'level', 'transportasi', 'logistik', 'kurir']",junior entry level transportasi logistik kurir
PT. Pelangi Pandunusa,Driver,Jakarta Utara,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Transportasi & Logistik', 'Driver']",Staff  Officer Transportasi  Logistik Driver,staff  officer transportasi  logistik driver,"['staff', 'officer', 'transportasi', 'logistik', 'driver']","['staff', 'officer', 'transportasi', 'logistik', 'driver']",staff officer transportasi logistik driver
Rays Residence,Barista,Jakarta Barat,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Fresh Graduate', 'Staff / Officer', 'Restaurant', 'Barista']",Fresh Graduate Staff  Officer Restaurant Barista,fresh graduate staff  officer restaurant barista,"['fresh', 'graduate', 'staff', 'officer', 'restaurant', 'barista']","['fresh', 'graduate', 'staff', 'officer', 'restaurant', 'barista']",fresh graduate staff officer restaurant barista
Sukses Abadi School,"Guru Bahasa Inggris (SD, SMP, SMA)",Jakarta Utara,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Menengah']",Fresh Graduate Junior  Entry Level Pendidikan Dan Pelatihan Guru Pendidikan Menengah,fresh graduate junior  entry level pendidikan dan pelatihan guru pendidikan menengah,"['fresh', 'graduate', 'junior', 'entry', 'level', 'pendidikan', 'dan', 'pelatihan', 'guru', 'pendidikan', 'menengah']","['fresh', 'graduate', 'junior', 'entry', 'level', 'didik', 'dan', 'latih', 'guru', 'didik', 'tengah']",fresh graduate junior entry level didik latih guru didik
CV. RAJAWALI,Staff Admin Logistik,Bandung Kota,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Junior / Entry Level', 'Administrasi', 'Staf Admin']",DiplomaDDD Fresh Graduate Junior  Entry Level Administrasi Staf Admin,diplomaddd fresh graduate junior  entry level administrasi staf admin,"['diplomaddd', 'fresh', 'graduate', 'junior', 'entry', 'level', 'administrasi', 'staf', 'admin']","['diplomaddd', 'fresh', 'graduate', 'junior', 'entry', 'level', 'administrasi', 'staf', 'admin']",diplomaddd fresh graduate junior entry level administrasi staf admin
PT Ferry Jaya Konstruksi,Staff Engineering Sipil,Denpasar,Negosiasi,Kontrak,Sarjana / S1,1-2 Tahun,"['Junior / Entry Level', 'Teknik', 'Teknik Sipil / Struktural']",Junior  Entry Level Teknik Teknik Sipil  Struktural,junior  entry level teknik teknik sipil  struktural,"['junior', 'entry', 'level', 'teknik', 'teknik', 'sipil', 'struktural']","['junior', 'entry', 'level', 'teknik', 'teknik', 'sipil', 'struktural']",junior entry level teknik teknik sipil struktural
PT Ferry Jaya Konstruksi,Drafter Arsitektur,Denpasar,Negosiasi,Kontrak,Sarjana / S1,1-2 Tahun,"['Junior / Entry Level', 'Desain & Arsitektur', 'Drafter Arsitektur']",Junior  Entry Level Desain  Arsitektur Drafter Arsitektur,junior  entry level desain  arsitektur drafter arsitektur,"['junior', 'entry', 'level', 'desain', 'arsitektur', 'drafter', 'arsitektur']","['junior', 'entry', 'level', 'desain', 'arsitektur', 'drafter', 'arsitektur']",junior entry level desain arsitektur drafter arsitektur
Trex Yam,Cooker,Jakarta Utara,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Restaurant', 'Koki / Chef']",DiplomaDDD Sarjana  S Fresh Graduate Staff  Officer Restaurant Koki  Chef,diplomaddd sarjana  s fresh graduate staff  officer restaurant koki  chef,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'restaurant', 'koki', 'chef']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'restaurant', 'koki', 'chef']",diplomaddd sarjana s fresh graduate staff officer restaurant koki chef
Sukses Abadi School,Guru Bahasa Inggris TK,Jakarta Utara,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Usia Dini']",Fresh Graduate Junior  Entry Level Pendidikan Dan Pelatihan Guru Pendidikan Usia Dini,fresh graduate junior  entry level pendidikan dan pelatihan guru pendidikan usia dini,"['fresh', 'graduate', 'junior', 'entry', 'level', 'pendidikan', 'dan', 'pelatihan', 'guru', 'pendidikan', 'usia', 'dini']","['fresh', 'graduate', 'junior', 'entry', 'level', 'didik', 'dan', 'latih', 'guru', 'didik', 'usia', 'dini']",fresh graduate junior entry level didik latih guru didik usia
PT Ferry Jaya Konstruksi,Teknik Arsitektur,Denpasar,Negosiasi,Kontrak,Sarjana / S1,1-2 Tahun,"['Junior / Entry Level', 'Desain & Arsitektur', 'Arsitektur']",Junior  Entry Level Desain  Arsitektur Arsitektur,junior  entry level desain  arsitektur arsitektur,"['junior', 'entry', 'level', 'desain', 'arsitektur', 'arsitektur']","['junior', 'entry', 'level', 'desain', 'arsitektur', 'arsitektur']",junior entry level desain arsitektur arsitektur
ASC Course,Guru Pendamping Khusus,Medan,Rp 3 – 4 Juta,Freelance,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Khusus']",Sarjana  S Junior  Entry Level Pendidikan Dan Pelatihan Guru Pendidikan Khusus,sarjana  s junior  entry level pendidikan dan pelatihan guru pendidikan khusus,"['sarjana', 's', 'junior', 'entry', 'level', 'pendidikan', 'dan', 'pelatihan', 'guru', 'pendidikan', 'khusus']","['sarjana', 's', 'junior', 'entry', 'level', 'didik', 'dan', 'latih', 'guru', 'didik', 'khusus']",sarjana s junior entry level didik latih guru didik khusus
PT. Matra Daya Rajasa,Surveyor Otomotif,Jakarta Pusat,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Sains & Teknologi', 'Petugas Survey']",DiplomaDDD Sarjana  S Fresh Graduate Staff  Officer Sains  Teknologi Petugas Survey,diplomaddd sarjana  s fresh graduate staff  officer sains  teknologi petugas survey,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'sains', 'teknologi', 'petugas', 'survey']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'sains', 'teknologi', 'tugas', 'survey']",diplomaddd sarjana s fresh graduate staff officer sains teknologi tugas survey
PT. DIAMOND PRIMA JAYA,Admin Online Shop,Jakarta Utara,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'E-Commerce & Marketplace']",DiplomaDDD Sarjana  S Staff  Officer Sales  Penjualan ECommerce  Marketplace,diplomaddd sarjana  s staff  officer sales  penjualan ecommerce  marketplace,"['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'sales', 'penjualan', 'ecommerce', 'marketplace']","['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'sales', 'jual', 'ecommerce', 'marketplace']",diplomaddd sarjana s staff officer sales jual ecommerce marketplace
Mandarin Code,Guru Mandarin,Kabupaten Tangerang,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Pendidikan Dan Pelatihan', 'Tutor / Instruktur']",DiplomaDDD Sarjana  S  Tahun Staff  Officer Pendidikan Dan Pelatihan Tutor  Instruktur,diplomaddd sarjana  s  tahun staff  officer pendidikan dan pelatihan tutor  instruktur,"['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'pendidikan', 'dan', 'pelatihan', 'tutor', 'instruktur']","['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'didik', 'dan', 'latih', 'tutor', 'instruktur']",diplomaddd sarjana s staff officer didik latih tutor instruktur
PT. DIAMOND PRIMA JAYA,Sales Representative Produk ATK,Jakarta Utara,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']",DiplomaDDD Sarjana  S Staff  Officer Sales  Penjualan Konsultan Penjualan,diplomaddd sarjana  s staff  officer sales  penjualan konsultan penjualan,"['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'sales', 'penjualan', 'konsultan', 'penjualan']","['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'sales', 'jual', 'konsultan', 'jual']",diplomaddd sarjana s staff officer sales jual konsultan jual
Sukses Abadi School,Wali Kelas SD,Jakarta Utara,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Dasar']",Fresh Graduate Junior  Entry Level Pendidikan Dan Pelatihan Guru Pendidikan Dasar,fresh graduate junior  entry level pendidikan dan pelatihan guru pendidikan dasar,"['fresh', 'graduate', 'junior', 'entry', 'level', 'pendidikan', 'dan', 'pelatihan', 'guru', 'pendidikan', 'dasar']","['fresh', 'graduate', 'junior', 'entry', 'level', 'didik', 'dan', 'latih', 'guru', 'didik', 'dasar']",fresh graduate junior entry level didik latih guru didik dasar
RUGONAL,Sales Marketing Manager,Jakarta Utara,Rp 10 – 12 Juta,Full Time,Sarjana / S1,6-10 Tahun,"['Manager / Assistant Manager', 'Sales / Penjualan', 'Manajemen Penjualan']",Manager  Assistant Manager Sales  Penjualan Manajemen Penjualan,manager  assistant manager sales  penjualan manajemen penjualan,"['manager', 'assistant', 'manager', 'sales', 'penjualan', 'manajemen', 'penjualan']","['manager', 'assistant', 'manager', 'sales', 'jual', 'manajemen', 'jual']",manager assistant manager sales jual manajemen jual
PT. MANGGALA UTAMA LOGISTIK,Admin Logistik,Makassar,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Transportasi & Logistik', 'Supply Chain & Distribusi']",DiplomaDDD Sarjana  S  Tahun Junior  Entry Level Transportasi  Logistik Supply Chain  Distribusi,diplomaddd sarjana  s  tahun junior  entry level transportasi  logistik supply chain  distribusi,"['diplomaddd', 'sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'transportasi', 'logistik', 'supply', 'chain', 'distribusi']","['diplomaddd', 'sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'transportasi', 'logistik', 'supply', 'chain', 'distribusi']",diplomaddd sarjana s junior entry level transportasi logistik supply chain distribusi
RUGONAL,Sales Marketing,Jakarta Utara,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Marketing / Pemasaran', 'Komunikasi Pemasaran']",DiplomaDDD Sarjana  S  Tahun Staff  Officer Marketing  Pemasaran Komunikasi Pemasaran,diplomaddd sarjana  s  tahun staff  officer marketing  pemasaran komunikasi pemasaran,"['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'marketing', 'pemasaran', 'komunikasi', 'pemasaran']","['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'marketing', 'pasar', 'komunikasi', 'pasar']",diplomaddd sarjana s staff officer marketing pasar komunikasi pasar
KianPhotomorphosis,Foto Editor,Jakarta Utara,Rp 3 – 4 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Seni, Media, & Kreatif', 'Multimedia Editor']",Sarjana  S Junior  Entry Level Seni Media  Kreatif Multimedia Editor,sarjana  s junior  entry level seni media  kreatif multimedia editor,"['sarjana', 's', 'junior', 'entry', 'level', 'seni', 'media', 'kreatif', 'multimedia', 'editor']","['sarjana', 's', 'junior', 'entry', 'level', 'seni', 'media', 'kreatif', 'multimedia', 'editor']",sarjana s junior entry level seni media kreatif multimedia editor
Trex Yam,Kasir,Jakarta Utara,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', '3-5 Tahun', 'Staff / Officer', 'Ritel', 'Asisten Ritel']",DiplomaDDD  Tahun Staff  Officer Ritel Asisten Ritel,diplomaddd  tahun staff  officer ritel asisten ritel,"['diplomaddd', 'tahun', 'staff', 'officer', 'ritel', 'asisten', 'ritel']","['diplomaddd', 'tahun', 'staff', 'officer', 'ritel', 'asisten', 'ritel']",diplomaddd staff officer ritel asisten ritel
PT Prisma Karya Utama,Staff Akuntansi Pajak,Bandung Kota,Rp 4 – 5 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Akuntansi', 'Perpajakan']",Sarjana  S Junior  Entry Level Akuntansi Perpajakan,sarjana  s junior  entry level akuntansi perpajakan,"['sarjana', 's', 'junior', 'entry', 'level', 'akuntansi', 'perpajakan']","['sarjana', 's', 'junior', 'entry', 'level', 'akuntansi', 'paja']",sarjana s junior entry level akuntansi paja
PT Silkar National Cab Balaraja,Site Drafter,Kabupaten Tangerang,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Junior / Entry Level', 'Desain & Arsitektur', 'Drafter Arsitektur']",DiplomaDDD Fresh Graduate Junior  Entry Level Desain  Arsitektur Drafter Arsitektur,diplomaddd fresh graduate junior  entry level desain  arsitektur drafter arsitektur,"['diplomaddd', 'fresh', 'graduate', 'junior', 'entry', 'level', 'desain', 'arsitektur', 'drafter', 'arsitektur']","['diplomaddd', 'fresh', 'graduate', 'junior', 'entry', 'level', 'desain', 'arsitektur', 'drafter', 'arsitektur']",diplomaddd fresh graduate junior entry level desain arsitektur drafter arsitektur
PT. Viper World Trade,Apoteker,Tangerang,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Kesehatan & Medis', 'Apoteker & Farmasi']",Staff  Officer Kesehatan  Medis Apoteker  Farmasi,staff  officer kesehatan  medis apoteker  farmasi,"['staff', 'officer', 'kesehatan', 'medis', 'apoteker', 'farmasi']","['staff', 'officer', 'sehat', 'medis', 'apoteker', 'farmasi']",staff officer sehat medis apoteker farmasi
Bandung Raya Motor,Mekanik,Bandung Kota,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Junior / Entry Level', 'Teknik', 'Teknik Otomotif']",DiplomaDDD Sarjana  S Junior  Entry Level Teknik Teknik Otomotif,diplomaddd sarjana  s junior  entry level teknik teknik otomotif,"['diplomaddd', 'sarjana', 's', 'junior', 'entry', 'level', 'teknik', 'teknik', 'otomotif']","['diplomaddd', 'sarjana', 's', 'junior', 'entry', 'level', 'teknik', 'teknik', 'otomotif']",diplomaddd sarjana s junior entry level teknik teknik otomotif
Tunas Daihatsu Balaraja,Marketing,Kabupaten Tangerang,Negosiasi,Freelance,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Junior / Entry Level', 'Ritel', 'Asisten Ritel']",DiplomaDDD Fresh Graduate Junior  Entry Level Ritel Asisten Ritel,diplomaddd fresh graduate junior  entry level ritel asisten ritel,"['diplomaddd', 'fresh', 'graduate', 'junior', 'entry', 'level', 'ritel', 'asisten', 'ritel']","['diplomaddd', 'fresh', 'graduate', 'junior', 'entry', 'level', 'ritel', 'asisten', 'ritel']",diplomaddd fresh graduate junior entry level ritel asisten ritel
PT. Mutia Culinary Concepts,Web Developer Officer,Medan,Rp 3 – 4 Juta,Kontrak,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Staff / Officer', 'IT / Information Technology', 'Programmer / Software Development']", Tahun Staff  Officer IT  Information Technology Programmer  Software Development, tahun staff  officer it  information technology programmer  software development,"['tahun', 'staff', 'officer', 'it', 'information', 'technology', 'programmer', 'software', 'development']","['tahun', 'staff', 'officer', 'it', 'information', 'technology', 'programmer', 'software', 'development']",staff officer it information technology programmer software development
PT. Mutia Culinary Concepts,Teknisi (Kitchen Equipment),Medan,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Teknik', 'Teknik Elektro / Elektronika']",DiplomaDDD Sarjana  S Staff  Officer Teknik Teknik Elektro  Elektronika,diplomaddd sarjana  s staff  officer teknik teknik elektro  elektronika,"['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'teknik', 'teknik', 'elektro', 'elektronika']","['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'teknik', 'teknik', 'elektro', 'elektronika']",diplomaddd sarjana s staff officer teknik teknik elektro elektronika
PT. Graha Safa Perkasa,General Admin,Pasuruan,Rp 2 – 3 Juta,Kontrak,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Administrasi', 'Staf Admin']",Staff  Officer Administrasi Staf Admin,staff  officer administrasi staf admin,"['staff', 'officer', 'administrasi', 'staf', 'admin']","['staff', 'officer', 'administrasi', 'staf', 'admin']",staff officer administrasi staf admin
CV. Sinaria Harapan,Sales Marketing Senior,Bandung Kabupaten,Rp 3 – 4 Juta,Part Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', '3-5 Tahun', '6-10 Tahun', 'Supervisor / Coordinator', 'Ritel', 'Asisten Ritel']",DiplomaDDD  Tahun  Tahun Supervisor  Coordinator Ritel Asisten Ritel,diplomaddd  tahun  tahun supervisor  coordinator ritel asisten ritel,"['diplomaddd', 'tahun', 'tahun', 'supervisor', 'coordinator', 'ritel', 'asisten', 'ritel']","['diplomaddd', 'tahun', 'tahun', 'supervisor', 'coordinator', 'ritel', 'asisten', 'ritel']",diplomaddd supervisor coordinator ritel asisten ritel
Bimbel JE.Co Cabang Brontokusuman,Tentor Bahasa Inggris,Yogyakarta,Negosiasi,Freelance,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Tutor / Instruktur']",Fresh Graduate Junior  Entry Level Pendidikan Dan Pelatihan Tutor  Instruktur,fresh graduate junior  entry level pendidikan dan pelatihan tutor  instruktur,"['fresh', 'graduate', 'junior', 'entry', 'level', 'pendidikan', 'dan', 'pelatihan', 'tutor', 'instruktur']","['fresh', 'graduate', 'junior', 'entry', 'level', 'didik', 'dan', 'latih', 'tutor', 'instruktur']",fresh graduate junior entry level didik latih tutor instruktur
Bimbel JE.Co Cabang Brontokusuman,Tentor Bahasa Indonesia,Yogyakarta,Negosiasi,Freelance,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Tutor / Instruktur']",Fresh Graduate Junior  Entry Level Pendidikan Dan Pelatihan Tutor  Instruktur,fresh graduate junior  entry level pendidikan dan pelatihan tutor  instruktur,"['fresh', 'graduate', 'junior', 'entry', 'level', 'pendidikan', 'dan', 'pelatihan', 'tutor', 'instruktur']","['fresh', 'graduate', 'junior', 'entry', 'level', 'didik', 'dan', 'latih', 'tutor', 'instruktur']",fresh graduate junior entry level didik latih tutor instruktur
PT Bahana Samudra Kreasindo,Staff Marketing,Jakarta Utara,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Junior / Entry Level', 'Marketing / Pemasaran', 'Komunikasi Pemasaran']",DiplomaDDD Junior  Entry Level Marketing  Pemasaran Komunikasi Pemasaran,diplomaddd junior  entry level marketing  pemasaran komunikasi pemasaran,"['diplomaddd', 'junior', 'entry', 'level', 'marketing', 'pemasaran', 'komunikasi', 'pemasaran']","['diplomaddd', 'junior', 'entry', 'level', 'marketing', 'pasar', 'komunikasi', 'pasar']",diplomaddd junior entry level marketing pasar komunikasi pasar
PT VALAR TRUK SOLUSI,Staff Accounting,Jakarta Barat,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']",Sarjana  S Junior  Entry Level Akuntansi Akuntansi Finansial,sarjana  s junior  entry level akuntansi akuntansi finansial,"['sarjana', 's', 'junior', 'entry', 'level', 'akuntansi', 'akuntansi', 'finansial']","['sarjana', 's', 'junior', 'entry', 'level', 'akuntansi', 'akuntansi', 'finansial']",sarjana s junior entry level akuntansi akuntansi finansial
Bimbel JE.Co Cabang Brontokusuman,Tentor Matematika,Yogyakarta,Negosiasi,Freelance,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Tutor / Instruktur']",Fresh Graduate Junior  Entry Level Pendidikan Dan Pelatihan Tutor  Instruktur,fresh graduate junior  entry level pendidikan dan pelatihan tutor  instruktur,"['fresh', 'graduate', 'junior', 'entry', 'level', 'pendidikan', 'dan', 'pelatihan', 'tutor', 'instruktur']","['fresh', 'graduate', 'junior', 'entry', 'level', 'didik', 'dan', 'latih', 'tutor', 'instruktur']",fresh graduate junior entry level didik latih tutor instruktur
CV Sweda Gembira,Content Creator,Yogyakarta,Rp 2 – 3 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Marketing / Pemasaran', 'Content Marketing']",Staff  Officer Marketing  Pemasaran Content Marketing,staff  officer marketing  pemasaran content marketing,"['staff', 'officer', 'marketing', 'pemasaran', 'content', 'marketing']","['staff', 'officer', 'marketing', 'pasar', 'content', 'marketing']",staff officer marketing pasar content marketing
Royal Stone Jakarta,Staff Admin Marketing,Jakarta Pusat,Rp 3 – 4 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Junior / Entry Level', 'Administrasi', 'Staf Admin']", Tahun Junior  Entry Level Administrasi Staf Admin, tahun junior  entry level administrasi staf admin,"['tahun', 'junior', 'entry', 'level', 'administrasi', 'staf', 'admin']","['tahun', 'junior', 'entry', 'level', 'administrasi', 'staf', 'admin']",junior entry level administrasi staf admin
PT. Power Pack Industrial Solution,Administrasi Produksi,Gresik,Rp 4 – 5 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Junior / Entry Level', 'Administrasi', 'Staf Admin']", Tahun Junior  Entry Level Administrasi Staf Admin, tahun junior  entry level administrasi staf admin,"['tahun', 'junior', 'entry', 'level', 'administrasi', 'staf', 'admin']","['tahun', 'junior', 'entry', 'level', 'administrasi', 'staf', 'admin']",junior entry level administrasi staf admin
Royal Stone Jakarta,Area Sales Officer,Jakarta Pusat,Rp 3 – 4 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']",Staff  Officer Sales  Penjualan Konsultan Penjualan,staff  officer sales  penjualan konsultan penjualan,"['staff', 'officer', 'sales', 'penjualan', 'konsultan', 'penjualan']","['staff', 'officer', 'sales', 'jual', 'konsultan', 'jual']",staff officer sales jual konsultan jual
Guapatlu Bakmi,Koki,Jakarta Utara,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Restaurant', 'Koki / Chef']",DiplomaDDD Sarjana  S Staff  Officer Restaurant Koki  Chef,diplomaddd sarjana  s staff  officer restaurant koki  chef,"['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'restaurant', 'koki', 'chef']","['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'restaurant', 'koki', 'chef']",diplomaddd sarjana s staff officer restaurant koki chef
Harapan Mulia Preschool,Teacher Homeroom,Bekasi,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Usia Dini']", Tahun Fresh Graduate Junior  Entry Level Pendidikan Dan Pelatihan Guru Pendidikan Usia Dini, tahun fresh graduate junior  entry level pendidikan dan pelatihan guru pendidikan usia dini,"['tahun', 'fresh', 'graduate', 'junior', 'entry', 'level', 'pendidikan', 'dan', 'pelatihan', 'guru', 'pendidikan', 'usia', 'dini']","['tahun', 'fresh', 'graduate', 'junior', 'entry', 'level', 'didik', 'dan', 'latih', 'guru', 'didik', 'usia', 'dini']",fresh graduate junior entry level didik latih guru didik usia
CV. Sinaria Harapan,Marketing / Sales Minuman,Bandung Kabupaten,Negosiasi,Part Time,SMA / SMK / STM,,"['Fresh Graduate', 'Junior / Entry Level', 'Ritel', 'Asisten Ritel']",Fresh Graduate Junior  Entry Level Ritel Asisten Ritel,fresh graduate junior  entry level ritel asisten ritel,"['fresh', 'graduate', 'junior', 'entry', 'level', 'ritel', 'asisten', 'ritel']","['fresh', 'graduate', 'junior', 'entry', 'level', 'ritel', 'asisten', 'ritel']",fresh graduate junior entry level ritel asisten ritel
